No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
263,Luke Cage,2016,"Action,Crime,Drama",57,TV-MA,GuillermoNavarro,"MikeColter,MahershalaAli,SimoneMissick,AlfreWoodard","In the aftermath of a chaotic event at a favorite Harlem hangout, Luke heeds the call to action and hits Cottonmouth where he'll feel it most.",8.3,NA,3312,NA,Marvel
264,Luke Cage,2016,"Action,Crime,Drama",53,TV-MA,VincenzoNatali,"MikeColter,SimoneMissick,TheoRossi,FrankWhaley","As he rescues a victim of Cottonmouth's vengeance, Luke remembers his earlier life and the conspiracy that led to his superhuman strength.",8.4,NA,3341,NA,Marvel
265,Luke Cage,2016,"Action,Crime,Drama",52,TV-MA,MarcJobst,"MikeColter,MahershalaAli,SimoneMissick,TheoRossi","Cottonmouth strikes back at Luke by taking his vengeance out on the people of Harlem, while detective Knight and Scarfe face an unexpected threat.",7.9,NA,3045,NA,Marvel
266,Luke Cage,2016,"Action,Crime,Drama",54,TV-MA,SamMiller,"MikeColter,MahershalaAli,SimoneMissick,RosarioDawson","After Cottonmouth and Scarfe's bloody clash, Luke realizes that saving the community may turn former allies into enemies, and enemies into allies.",8,NA,2980,NA,Marvel
267,Luke Cage,2016,"Action,Crime,Drama",52,TV-MA,AndyGoddard,"MikeColter,MahershalaAli,SimoneMissick,TheoRossi","Mariah's political career comes under fire, and Cottonmouth picks up information that could put Luke on the run.",8.4,NA,3092,NA,Marvel
268,Luke Cage,2016,"Action,Crime,Drama",49,TV-MA,MagnusMartens,"MikeColter,SimoneMissick,TheoRossi,ErikLaRayHarvey","Mariah campaigns to turn the city and the police against Luke, and not even Misty or Claire may be able to save him.",8,NA,2897,NA,Marvel
269,Luke Cage,2016,"Action,Crime,Drama",66,TV-MA,TomShankland,"MikeColter,SimoneMissick,TheoRossi,ErikLaRayHarvey","With Luke wounded and on the run, Misty faces a soul-searching interrogation. Mariah's rise to power takes a dark turn.",7.8,NA,2807,NA,Marvel
270,Luke Cage,2016,"Action,Crime,Drama",48,TV-MA,StephenSurjik,"MikeColter,SimoneMissick,ErikLaRayHarvey,RosarioDawson","Luke gets closer to the truth about Reva and her part in his fate, while Mariah wrestles with morality of her new role. Misty hunts for Luke.",7.9,NA,2757,NA,Marvel
271,Luke Cage,2016,"Action,Crime,Drama",52,TV-MA,GeorgeTillmanJr.,"MikeColter,SimoneMissick,TheoRossi,ErikLaRayHarvey","In one bold move, a person from Luke's past puts Luke on the defensive, Misty in dire straits, and Harlem's safety in jeopardy.",8.3,NA,2805,NA,Marvel
272,Luke Cage,2016,"Action,Crime,Drama",63,TV-MA,PhilAbraham,"MikeColter,SimoneMissick,TheoRossi,ErikLaRayHarvey",Misty digs deeper for the truth as the neighbourhood's power players throw the city into confusion.,8.1,NA,2811,NA,Marvel
273,Luke Cage,2016,"Action,Crime,Drama",46,TV-MA,ClarkJohnson,"MikeColter,SimoneMissick,TheoRossi,ErikLaRayHarvey","With all of Harlem bearing witness, Luke takes on the fight of his life in hopes of emerging as the defender his city needs.",7.8,NA,2931,NA,Marvel
274,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",44,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",Director Phil Coulson and Agent Daisy Johnson leading the charge as S.H.I.E.L.D. searches the world for more powered people in the aftermath of their epic battle with Jiaying and her army ...                See full summary <U+00BB>,8.6,NA,3142,NA,Marvel
275,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Fitz and the team enlist the aid of an Asgardian to unlock the secrets of the ancient monolith that swallowed Simmons, and Agent May is at a crossroads in her personal and professional life.",8.7,NA,2807,NA,Marvel
276,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Mack, Daisy, and Coulson race against time to keep Lincoln safe; Hunter will do whatever it takes to get revenge.",8.1,NA,2482,NA,Marvel
277,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,RonUnderwood,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Having reluctantly agreed to share information with Rosalind and the ATCU, Coulson and the team search for the Inhuman who is killing other Inhumans; May feels that Hunter's mission to take down Ward is getting too personal.",8.3,NA,2453,NA,Marvel
278,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","After her dramatic rescue from another planet, Simmons is still reeling from her ordeal and reveals how she had to fight for her life in a harsh new world.",9.3,NA,4623,NA,Marvel
279,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,DwightH.Little,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",The stakes get higher as May and Hunter pursue Ward and Hydra; Coulson thinks the ATCU could be keeping a big secret.,8.4,NA,2455,NA,Marvel
280,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,DavidSolomon,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","As Daisy and the team try to protect Inhumans, a shocking truth is revealed about S.H.I.E.L.D.'s biggest enemy; with Fitz's help, Simmons recovers information that could get them back through the portal.",8.5,NA,2413,NA,Marvel
281,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",Dangerous facts about the ATCU are discovered by the team; Ward's plans to take down S.H.I.E.L.D. do not go as expected.,9,NA,2686,NA,Marvel
282,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,KateWoods,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Ward's vendetta and plan for revenge against S.H.I.E.L.D. brings the team to their knees, and Coulson proves he will be willing to do anything to settle the conflict.",9,NA,2710,NA,Marvel
283,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","S.H.I.E.L.D battles Hydra head-to-head, which sees Coulson and Fitz take the ultimate risk while Daisy and the Inhumans try to keep Hydra at bay.",9.1,NA,2892,NA,Marvel
284,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,RonUnderwood,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Coulson is more determined than ever to get to Gideon Malick and put to an end to Hydra once and for all in the aftermath of his trip to Maveth. Meanwhile, Daisy and the team encounter more...                See full summary <U+00BB>",8.1,NA,2195,NA,Marvel
285,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,JohnTerlesky,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","Coulson and the team investigate an international conference on the fate of the Inhumans. Back on the bus, Fitzsimmons may have found a way to stop the Inhuman gene from spreading.",8.1,NA,2143,NA,Marvel
286,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,MichaelZinberg,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","After tracking Malick to Russia, Bobbi and Hunter become involved in an assassination plot; the team is changed forever as they race to save lives in the balance.",8.8,NA,2787,NA,Marvel
287,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",Agent Mack and his brother step in when a radical group called the Watchdogs plan to eliminate the Inhumans; Simmons finds a powerful chemical compound.,7.7,NA,2205,NA,Marvel
288,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet","When Daisy gets a horrifying glimpse of the future, S.H.I.E.L.D. races to prove that fate is not fixed.",8.7,NA,2364,NA,Marvel
289,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,BrettDalton,ChloeBennet",The team hunts for information on a new enemy; Malick's secret from his past threatens to destroy his Hydra legacy.,8.2,NA,2104,NA,Marvel
